Rk;Name;NOC;FX_D_Score;FX_E_Score;FX_Total_Score;FX_Penalty;PH_D_Score;PH_E_Score;PH_Total_Score;PH_Penalty;SR_D_Score;SR_E_Score;SR_Total_Score;SR_Penalty;VT_D_Score;VT_E_Score;VT_Total_Score;VT_Penalty;PB_D_Score;PB_E_Score;PB_Total_Score;PB_Penalty;HB_D_Score;HB_E_Score;HB_Total_Score;HB_Penalty;AA_Score
18;DAUSER Lukas;GER;5,3;8,366;13,666;0;5,3;6,933;12,233;0;5;8,133;13,133;0;4,8;9,066;13,866;0;6,6;8,8;15,4;0;5;7,133;12,133;0;80,431
19;HEGGEMSNES Sofus;NOR;5,1;8,4;13,5;0;4,6;7,8;12,4;0;4,6;8,633;13,233;0;5,2;9,233;14,433;0;4,8;8,633;13,433;0;4,8;8,3;13,1;0;80,099
20;BALAZS Krisztian;HUN;5,3;7,866;13,166;0;4,9;7,4;12,3;0;4,4;8,4;12,8;0;4,4;8,766;13,166;0;6,1;8,433;14,533;0;5,7;8,4;14,1;0;80,065
21;CALVO MORENO JO;COL;5,6;7,333;12,933;0;5,6;7,7;13,3;0;5;7,066;12,066;0;5,2;7,833;13,033;0;6,7;8,466;15,166;0;5,7;7,7;13,4;0;79,898
22;van den KEYBUS Luka;BEL;5,5;8,2;13,7;0;5,6;6,133;11,733;0;4,3;8,5;12,8;0;5,2;9,3;14,5;0;6;8,333;14,333;0;5,4;7,333;12,733;0;79,799
23;BURTANETE Gabriel;ROU;5,6;7,666;13,266;0;4,4;8,066;12,466;0;4,4;8,8;13,2;0;5,6;9,2;14,8;0;5,3;8,2;13,5;0;4,5;8,066;12,566;0;79,798
24;CASALI Lorenzo Minh;ITA;5,5;8,333;13,833;0;4,8;8,366;13,166;0;5,1;8,166;13,266;0;5,6;8,7;14,3;0;5,8;7,4;13,2;0;4,8;7,2;12;0;79,765
25;ABAD Nestor;ESP;5,5;7,9;13,4;0;5,2;7,566;12,766;0;4,9;7,666;12,566;0;4,8;9;13,5;-0,3;5,8;8,5;14,3;0;5;8,166;13,166;0;79,698
26;MOHAMED Omar;EGY;5,5;8,233;13,733;0;5;7,866;12,866;0;5,6;8;13,6;0;5,2;8,866;13,766;-0,3;5,6;8,266;13,866;0;4,5;7,2;11,7;0;79,531
27;AFIFY Mohamed;EGY;5,1;8;13,1;0;5,3;8;13,3;0;4,9;8,066;12,966;0;4,8;8,966;13,666;-0,1;5,8;8,066;13,866;0;4,6;8,033;12,633;0;79,531
28;MESZAROS Krisztofer;HUN;6;8,333;14,233;-0,1;5,4;7,066;12,466;0;4,7;8,4;13,1;0;5,2;7,933;12,833;-0,3;6,2;8,3;14,5;0;5,2;7,166;12,366;0;79,498
29;WIBYE Harald;NOR;5,5;7,966;13,466;0;4,3;7,9;12,2;0;4,3;8,3;12,6;0;4,8;9,1;13,9;0;5,4;8,8;14,2;0;4,9;8,1;13;0;79,366
30;AZIMOV Abdulla;UZB;4,9;8,266;13,166;0;6,1;8,2;14,3;0;4,3;7,666;11,966;0;4,8;9,1;13,9;0;5,1;8,433;13,533;0;4,7;7,733;12,433;0;79,298
31;DEGOUY Paul;FRA;5,3;7,233;12,533;0;4,1;8,066;12,166;0;4,7;8,5;13,2;0;5,2;8,9;14,1;0;5,5;8,2;13,7;0;5,2;8,366;13,566;0;79,265
32;SALADINO Leo;FRA;5,5;7,866;13,066;-0,3;5,1;7,833;12,933;0;5,1;8,2;13,3;0;4,4;8,866;13,166;-0,1;5,7;8,266;13,966;0;5;7,633;12,633;0;79,064
33;LEE Junho;KOR;5,3;7,433;12,733;0;4,8;7,833;12,633;0;5;8,433;13,433;0;5,6;9;14,6;0;5,6;7,666;13,266;0;5,6;6,633;12,233;0;78,898
34;KIM Jaeho;KOR;5,3;8,2;13,4;-0,1;5,2;6,7;11,9;0;4,4;7,366;11,766;0;5,2;9,333;14,533;0;5,4;8,366;13,766;0;4,7;8,566;13,266;0;78,631
35;DOLCI Felix;CAN;5,9;6,633;12,433;-0,1;4,3;6,066;10,366;0;5;8,366;13,366;0;5,2;9,333;14,533;0;5,9;7,966;13,866;0;5,9;7,866;13,766;0;78,33
36;TOMCSANYI Benedek;HUN;5,4;8,066;13,466;0;5,3;7,733;13,033;0;5,1;8,1;13,2;0;4,8;8,3;12,8;-0,3;5,4;7,866;13,266;0;4,6;7,933;12,533;0;78,298
